Name,Tc (K),Source,Page
Co2CrAl,334.0,4 V4,542
Co2CrAl,334.0,4 V4,288
Co2FeO4,450.0,4 V8,212
Co2FeSi,980.0,4 V4,288
Co2FeSi,980.0,4 V4,546
Co2HfAl,193.0,4 V4,288
Co2HfGa,186.0,4 V4,288
Co2HfSn,394.0,4 V4,288
Co2MnAl,693.0,4 V4,542
Co2MnAl,693.0,4 V4,288
Co2MnAl,697.0,2,3
Co2MnGa,694.0,1,394
Co2MnGa,694.0,4 V4,542
Co2MnGa,694.0,4 V4,288
Co2MnGa,694.0,2,3
Co2MnGe,905.0,1,394
Co2MnGe,905.0,2,3
Co2MnGe,905.0,4 V4,288
Co2MnGe,905.0,4 V4,546
Co2MnO4,183.0,2,3
Co2MnSi,985.0,4 V4,288
Co2MnSi,985.0,2,4
Co2MnSi,985.0,1,394
Co2MnSi,985.0,4 V4,546
Co2MnSn,829.0,4 V4,288
Co2MnSn,829.0,2,4
Co2MnSn,811.0,2,4
Co2MnSn,829.0,1,394
Co2NbAl,383.0,4 V4,542
Co2NbAl,383.0,4 V4,288
Co2NbSn,119.0,4 V4,288
Co2TaAl,260.0,4 V4,288
Co2TiAl,138.0,4 V4,288
Co2TiGa,130.0,4 V4,288
Co2TiGe,386.0,4 V4,546
Co2TiGe,386.0,4 V4,288
Co2TiSi,375.0,4 V4,546
Co2TiSi,375.0,4 V4,288
Co2TiSn,359.0,4 V4,288
Co2VAl,310.0,4 V4,288
Co2VAl,310.0,4 V4,542
Co2VGa,352.0,4 V4,288
Co2VGa,352.0,4 V4,542
Co2VO4,160.0,2,4
Co2VO4,158.0,2,4
Co2VSn,70.0,4 V4,288
Co2ZrAl,185.0,4 V4,288
Co2ZrSn,444.0,4 V4,288
Co3.5CuFe0.5Ce,993.0,2,3
Co3B,747.0,2,3
Co3Pt,1190.0,1,392
Co3V2O8,10.0,2,4
Co67.2Ti32.8,17.0,2,4
Co71Ti29,44.0,2,4
Co72Ti28,42.0,2,4
Co78.6Ti21.4,38.0,2,4
CoAlFeO4,420.0,2,3
CoAs0.1S1.9,90.0,2,3
CoAs0.25S1.75,12.0,2,3
CoB,477.0,2,3
CoCr2O4,95.9,2,3
CoCr2O4,95.0,2,3
CoCr2O4,100.0,2,3
CoCr2O4,97.0,2,3
CoCr2O4,98.0,2,3
CoCr2O4,98.0,2,3
CoCr2O4,96.0,2,3
CoCr2S4,235.0,2,3
CoCr2S4,240.0,2,3
CoCr2S4,238.0,2,3
CoCr2S4,227.0,2,3
CoFe0.5Rh1.5O4,160.0,2,3
CoFe0.5Rh1.5O4,160.0,2,3
